Unnamed: 0,row_index,id,bill_id,cong,bill_type,bill_no,name_full,description,intr_date,intr_month,year,pap_majortopic,pap_subtopic,majortopic,subtopic,filter_plaw,plaw_date,plaw_no,pass_h,pass_s,majority,party,chamber,comment,predicted_label,inference_path
0,0,330520,84-S-3799,84,S,3799,"Malone, George",A bill to provide relief for the beryl Industry,,,1956,21,2103,21,2103,0,,,0.0,0.0,0.0,200.0,2,,15,L2_Heterogeneous_Match
1,1,296306,101-S-1385,101,S,1385,Trent Lott,"A bill to establish a tropical cyclone reconnaissance, surveillance, and research program under the joint control of the Secretary of Defense and the Secretary of Commerce.",7/24/89,7.0,1989,17,1708,17,1708,0,,0,0.0,0.0,0.0,200.0,2,,16,L2_Heterogeneous_Match
2,2,422341,106-HR-3687,106,HR,3687,Scott McInnis,To establish the Canyons of the Ancients National Conservation Area.,2/16/00,2.0,2000,21,2103,21,2103,0,,0,0.0,0.0,1.0,200.0,1,,21,L2_Heterogeneous_Match
3,3,158122,89-HR-18178,89,HR,18178,"King, Cecil R.",To authorize the transfer of a vessel to the Los Angeles Unified School District for nontransportation use in the training of merchant marine personnel,,,1966,10,1007,10,1007,0,,,0.0,0.0,1.0,100.0,1,,6,L3_Expert_Consensus
4,4,299,100-HR-279,100,HR,279,James Henry Quillen,"A bill to amend title 38, United States Code, to remove the time limitation for the use of GI bill educational assistance benefits.",1/6/87,1.0,1987,6,601,6,601,0,,0,0.0,0.0,0.0,200.0,1,,6,L2_Heterogeneous_Match
5,5,246547,94-HR-14929,94,HR,14929,"Mitchell, Parren J.",A bill to reaffirm the intent of Congress with respect to the structure of the common carrier telecommunciations industry rendering services in interstate and foreign commerce; to grant additional authority to the Federal Communications Commission to auth,7/28/76,7.0,1976,17,1706,17,1706,0,,0,0.0,0.0,1.0,100.0,1,,17,L2_Heterogeneous_Match
6,6,445560,111-H-2817,111,HR,2817,James P. Jim McGovern,"To address global hunger and improve food security through the development and implementation of a comprehensive governmentwide global hunger reduction strategy, the establishment of the White House Office on Global Hunger and Food Security, and the creation of the Permanent Joint Select Committee on Hunger, and for other purposes.",2006/11/9,6.0,2009,19,1901,19,1901,0,0000-00-00,,0.0,0.0,1.0,100.0,1,0,19,L2_Heterogeneous_Match
7,7,4727,100-HR-3755,100,HR,3755,Bill Schuette,A bill to extend the eligibility of producers for emergency loans due to disasters or emergencies during the 1987 crop year who did not have crop insurance in effect and to refund the insurance premiums paid by producer-borrowers who did have insurance coverage.,12/11/87,12.0,1987,4,402,4,402,0,,0,0.0,0.0,0.0,200.0,1,,4,L2_Heterogeneous_Match
8,8,110445,86-HR-10286,86,HR,10286,"Jarman, John",To confer jurisdiction upon the Court of Claims to determine the claim against the United States of Amis Construction Co. and San Ore Construction Co,,,1960,12,1204,12,1204,0,,,0.0,0.0,1.0,100.0,1,,12,L2_Heterogeneous_Match
9,9,363703,92-S-2388,92,S,2388,"BELLMON, HENRY","A bill to amend the Soil Conservation and Domestic Allotment Act, as amended, to authorize long term cost sharing agreements",,,1971,7,711,7,711,0,,,0.0,0.0,0.0,200.0,2,,4,L2_Heterogeneous_Match
10,10,200201,92-HR-1028,92,HR,1028,"Price, C. Melvin",To amend title II of the Social Security Act to eliminate the reduction in disability benefits which is presently required in the case of an individual receiving workmen's compensation benefits,,,1971,5,503,5,503,0,,,0.0,0.0,1.0,100.0,1,,13,L2_Heterogeneous_Match
11,11,58151,82-HR-2864,82,HR,2864,"Engle, Clair","To permit the sale of gold within the United States, its Territories and possessions, including Alaska, and for other purposes",,,1951,1,104,1,104,0,,,0.0,0.0,1.0,100.0,1,,15,L3_Expert_Consensus
12,12,389439,80-S-1230,80,S,1230,"Maybank, Burne","A bill to amend sections 2 (a) and 603 (a) of the National Housing Act, as amended",,,1947,14,1401,14,1401,1,,,1.0,1.0,0.0,100.0,2,,14,L2_Heterogeneous_Match
13,13,340706,87-S-1291,87,S,1291,"Bible, Alan H.","A bill to amend the District of Columbia Traffic Act, 1925, as amended, to increase the fee charged for learners permits.",,,1961,20,2014,20,2014,0,,,0.0,1.0,1.0,100.0,2,,20,L3_Expert_Consensus
14,14,273716,97-HR-454,97,HR,454,James Kenneth Robinson,"A bill to amend the Internal Revenue Code of 1954 to exempt nonprofit volunteer firefighting or rescue organizations from the Federal excise taxes on gasoline, diesel fuel, and certain other articles and services.",1/5/81,1.0,1981,8,803,8,803,0,,0,0.0,0.0,0.0,200.0,1,,1,L2_Heterogeneous_Match
15,15,389417,80-S-2261,80,S,2261,"Aiken, George","A bill to amend section 602 (in) (2) of the National Service Life Insurance Act of 1940, as amended",,,1948,16,1609,16,1609,0,,,0.0,0.0,1.0,200.0,2,,16,L2_Heterogeneous_Match
16,16,225059,93-HR-13078,93,HR,13078,Peter Nicholas Kyros,A bill to amend the Internal Revenue Code of 1954 to provide that the tax on the amounts paid for communication services shall not apply to the amount of the State and local taxes paid for such services.,2/27/74,2.0,1974,17,1706,17,1706,0,,0,0.0,0.0,1.0,100.0,1,,17,L2_Heterogeneous_Match
17,17,247436,94-HR-4644,94,HR,4644,Frederick William Richmond,"A bill to amend the National School Lunch and Child Nutrition Acts in order to extend and revise the special food service program for children, the special supplemental food program, and the school breakfast program, and for other purposes related to strengthening the school lunch and child nutrition programs.",3/11/75,3.0,1975,13,1301,13,1301,0,,0,0.0,0.0,1.0,100.0,1,,13,L2_Heterogeneous_Match
18,18,450306,111-S-1175,111,S,1175,Maria Cantwell,"A bill to amend the Public Utility Regulatory Policies Act of 1978 to authorize the Secretary of Energy to make loans to electric utilities to carry out projects to comply with any Federal renewable electricity standard, and for other purposes.",2006/3/9,6.0,2009,8,802,8,802,0,0000-00-00,,0.0,0.0,1.0,100.0,2,0,8,L2_Heterogeneous_Match
19,19,176504,90-HR-18256,90,HR,18256,"Perkins, Carl D.","To amend the Vocational Education Act of 1963, and for other purposes",,,1968,6,604,6,604,0,,,0.0,0.0,1.0,100.0,1,,6,L2_Heterogeneous_Match
20,20,178909,90-HR-20354,90,HR,20354,"Scott, William L.",To amend the Internal Revenue Code of 1954 to provide that Federal tax may not be collected by levy and distraint until after a court determination that the taxpayer is liable therefor,,,1968,1,107,1,107,0,,,0.0,0.0,0.0,200.0,1,,1,L2_Heterogeneous_Match
21,21,373224,95-S-1833,95,S,1833,"Inouye, Daniel K.",A bill to extend the age limitation before which certain passenger vessels can qualify for operating-differential subsidies from 25 to 30 years.,7/11/77,7.0,1977,10,1007,10,1007,0,,0,0.0,0.0,1.0,100.0,2,,10,L2_Heterogeneous_Match
22,22,42804,80-HR-4623,80,HR,4623,"Sikes, Robert L. F.",To increase the maximum duration of veterans on the job training program from 2 to 4 years,,,1947,16,1609,16,1609,0,,,0.0,0.0,0.0,100.0,1,,6,L2_Heterogeneous_Match
23,23,281816,98-HR-4064,98,HR,4064,Clarence Dickinson Long,A bill to amend title XVIII of the Social Security Act to provide for direct medicare reimbursement for services performed by registered nurse anesthetists.,10/3/83,10.0,1983,3,323,3,323,0,,0,0.0,0.0,1.0,100.0,1,,3,L2_Heterogeneous_Match
24,24,85314,84-HR-11424,84,HR,11424,"Younger, J. Arthur",To create a Czechoslovakian Claims Fund to settle claims of certain United States nationals against Czechoslovakia.,,,1956,19,1921,19,1921,0,,,0.0,0.0,0.0,200.0,1,,19,L2_Heterogeneous_Match
25,25,82990,84-HR-9222,84,HR,9222,"Scott, Hugh D. Jr.","To amend sections 201 and 202 of the Immigration and Nationality Act, and for other purposes.",,,1956,9,900,9,900,0,,,0.0,0.0,0.0,200.0,1,,9,L2_Heterogeneous_Match
26,26,278435,97-HR-1817,97,HR,1817,George Miller O'Brien,A bill to amend the Clean Air Act to provide compliance date extensions for steel-making facilities on a case-by-case basis to facilitate modernization.,2/6/81,2.0,1981,7,705,7,705,0,,0,0.0,0.0,0.0,200.0,1,,7,L2_Heterogeneous_Match
27,27,26072,104-HR-1712,104,HR,1712,Michael Allen Mac Collins,To amend the Harmonized Tariff Schedule of the United States with respect to imports of civil aircraft.,5/25/95,5.0,1995,18,1807,18,1807,0,,0,0.0,0.0,1.0,200.0,1,,18,L2_Heterogeneous_Match
28,28,11081,101-HR-4403,101,HR,4403,Donald E. Don Young,To clear certain impediments to the licensing of M/V PUMPKIN for employment in the coastwise trade and fisheries of the United States.,3/27/90,3.0,1990,10,1007,10,1007,0,,0,0.0,0.0,0.0,200.0,1,,10,L2_Heterogeneous_Match
29,29,171787,90-HR-13149,90,HR,13149,"Sandman, Charles W. Jr.",To amend the Tariff Schedules of the United States to provide that the amount of groundfish imported into .the United States shall not exceed the average annual amount thereof imported during 1963 and 1964,,,1967,18,1807,18,1807,0,,,0.0,0.0,0.0,200.0,1,,18,L2_Heterogeneous_Match
30,30,77459,84-HR-3339,84,HR,3339,"Smith, Wint","To provide that the Secretary of the Army shall investigate and report upon the advisability of establishing a national monument and national cemetery on the site of the old Fort Wallace Post Cemetery, Kans",,,1955,16,1609,16,1609,0,,,0.0,0.0,0.0,200.0,1,,21,L2_Heterogeneous_Match
31,31,39089,80-HR-953,80,HR,953,"Hagen, Harold C.",To provide for a United States airmail postal card and to authorize the transmission by air mail of private mailing cards (post cards),,,1947,20,2003,20,2003,0,,,0.0,0.0,1.0,200.0,1,,20,L2_Heterogeneous_Match
32,32,296255,101-S-1158,101,S,1158,Alan Cranston,"A bill to amend chapter 37 of title 38, United States Code, to restructure the loan guarantee provided under such chapter and to ensure the solvency of the housing loan guaranty program conducted under that chapter.",6/9/89,6.0,1989,14,1407,14,1407,0,,0,0.0,0.0,1.0,100.0,2,,14,L2_Heterogeneous_Match
33,33,138029,88-HR-10927,88,HR,10927,"Boland, Edward P.","To amend the Immigration and Nationality Act, and for other purposes",,,1964,9,900,9,900,0,,,0.0,0.0,1.0,100.0,1,,9,L2_Heterogeneous_Match
34,34,110226,86-HR-9742,86,HR,9742,"Moulder, Morgan M.","To amend the Interstate Commerce Act, as amended, so as to strengthen and improve the national transportation system, insure the protection of the public interest, and for other purposes",,,1960,10,1000,10,1000,0,,,0.0,0.0,1.0,100.0,1,,10,L2_Heterogeneous_Match
