text,label
"Budget to set scene for election
 
 Gordon Brown will seek to put the economy at the centre of Labour's bid for a third term in power when he delivers his ninth Budget at 1230 GMT. He is expected to stress the importance of continued economic stability, with low unemployment and interest rates. The chancellor is expected to freeze petrol duty and raise the stamp duty threshold from Â£60,000. But the Conservatives and Lib Dems insist voters face higher taxes and more means-testing under Labour.
 
 Treasury officials have said there will not be a pre-election giveaway, but Mr Brown is thought to have about Â£2bn to spare.
 
 - Increase in the stamp duty threshold from Â£60,000 
  - A freeze on petrol duty 
  - An extension of tax credit scheme for poorer families 
  - Possible help for pensioners The stamp duty threshold rise is intended to help first time buyers - a likely theme of all three of the main parties' general election manifestos. Ten years ago, buyers had a much greater chance of avoiding stamp duty, with close to half a million properties, in England and Wales alone, selling for less than Â£60,000. Since then, average UK property prices have more than doubled while the starting threshold for stamp duty has not increased. Tax credits As a result, the number of properties incurring stamp duty has rocketed as has the government's tax take. The Liberal Democrats unveiled their own proposals to raise the stamp duty threshold to Â£150,000 in February.
 
 The Tories are also thought likely to propose increased thresholds, with shadow chancellor Oliver Letwin branding stamp duty a ""classic Labour stealth tax"". The Tories say whatever the chancellor gives away will be clawed back in higher taxes if Labour is returned to power. Shadow Treasury chief secretary George Osborne said: ""Everyone who looks at the British economy at the moment says there has been a sharp deterioration in the public finances, that there is a black hole,"" he said. ""If Labour is elected there will be a very substantial tax increase in the Budget after the election, of the order of around Â£10bn.""
 
 But Mr Brown's former advisor Ed Balls, now a parliamentary hopeful, said an examination of Tory plans for the economy showed there would be a Â£35bn difference in investment by the end of the next parliament between the two main parties. He added: ""I don't accept there is any need for any changes to the plans we have set out to meet our spending commitments.""
 
 For the Lib Dems David Laws said: ""The chancellor will no doubt tell us today how wonderfully the economy is doing,"" he said. ""But a lot of that is built on an increase in personal and consumer debt over the last few years - that makes the economy quite vulnerable potentially if interest rates ever do have to go up in a significant way."" SNP leader Alex Salmond said his party would introduce a Â£2,000 grant for first time buyers, reduce corporation tax and introduce a citizens pension free from means testing. Plaid Cymru's economics spokesman Adam Price said he wanted help to get people on the housing ladder and an increase in the minimum wage to Â£5.60 an hour.
",politics
"Army chiefs in regiments decision
 
 Military chiefs are expected to meet to make a final decision on the future of Scotland's Army regiments.
 
 A committee of the Army Board, which is made up of the most senior defence figures, will discuss plans for restructuring regiments on Monday. The proposals include cutting Scotland's six single-battalion regiments to five and merging these into a super regiment. The plans have faced stiff opposition from campaigners and politicians alike. The committee's decision must be ratified by Defence Secretary Geoff Hoon and Prime Minister Tony Blair. It is expected that it will be made public next week. When ministers announced a reorganisation of the Army it drew a question mark over the futures of the Black Watch, the Kings Own Scottish Borderers, the Royal Scots, the Royal Highland Fusiliers and the Argyll and Sutherland Highlanders. In October, the Council of Scottish Colonels proposed the merger of the Royal Scots and the King's Own Scottish Borderers into a single battalion.
 
 Under their vision, it would be one of five in the new super regiment. The proposals to either merge or amalgamate the six regiments into a super regiment sparked a political outcry, with Labour backbenchers and opposition politicians opposing the plan. They felt the timing was insensitive because the Black Watch was in the frontline in Iraq, suffering casualties. The Save the Scottish Regiments campaigners were so angered they threatened to stand against Labour at the next general election.
 
 Speaking ahead of the expected Army Board meeting, a spokesman said: ""The government and the Army Board have spent the past four months attempting to trick serving soldiers and the public into thinking their planned changes for the Scottish regiments are for the good of the Army and for that of the serving soldier. ""They are very much not for the good and will destroy Scotland's regiments by moulding them into a single super regiment which will lead to severe recruitment problems, a loss of local connections to those regiments and a loss to Scotland of an important part of her heritage and, most importantly, her future - the regiments are the envy of armies around the world."" An alternative blueprint had been put forward by Labour MP Eric Joyce, who proposed going ahead with the merger while preserving the other regiments. For a brief time, there was speculation the prime minister might consider the plan, but that now seems unlikely. Speaking in Scotland last week, Mr Blair said the aim was to preserve tradition but introduce a more effective structure and hinted that a super regiment was likely. He said: ""They don't want to get rid of the history or the traditions of the regiment or the local connections - far from it, all they want to do is make sure they can transfer people easily across regiments and deploy them more flexibly."" The prime minister said he hoped campaigners' concerns would be taken into account but the need for effective change had to be paramount.
",politics
"Howard denies split over ID cards
 
 Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.
 
 The Tory leader said his front bench team had reached a ""collective view"" after holding a ""good discussion"", but admitted it was ""not an easy issue"". He had decided to support the plans as the police said they would help fight terror, crime and illegal immigration. The Lib Dems have pledged to oppose the bill when it is debated next Monday.
 
 Tory sources say senior party figures had argued vociferously against the ID card scheme. Among those reported to have serious reservations over the strategy were senior shadow cabinet members David Davis, Oliver Letwin and Tim Yeo. But Mr Howard denied Mr Yeo, his transport and environment spokesman, said the plans ""stink"". He also said he was confident shadow home secretary Mr Davis would ""set out the position very clearly"" when he stands up to debate the matter next week. Mr Howard said the police had said ID cards could ""help them foil a terror bomb plot in which people could lose their lives"". He added: ""When the police say that you have to take them seriously"".
 
 He acknowledged there were ""good libertarian arguments"" against the cards, but said the shadow Cabinet had weighed up all the ""conflicting interests"" before reaching its decision. ""I don't pretend that it is an easy decision but at the end of the day a decision has to be taken."" He also denied he was afraid of looking ""soft"" on the issue, compared to Labour. The Conservatives announced their support for the government plans on Monday evening.
 
 Sources within the party told the BBC Mr Howard had always been in favour of ID cards, and tried to introduce them when he was Home Secretary. But the Tories insisted they would hold ministers to account over the precise purpose of the scheme.
 
 They said they would also press Labour over whether objectives could be met and whether the Home Office would be able to deliver them. And they pledged to assess the cost effectiveness of ID cards and whether people's privacy would be properly protected. ""It is important to remember that this bill will take a decade to come into full effect,"" a spokesman said. Lib Dem home affairs spokesman Mark Oaten has branded the ID scheme a waste of money and ""deeply flawed"". He said: ""This has all the signs of Michael Howard overruling colleagues' concerns over ID cards.""
 
 The chairman of the Bar Council, Guy Mansfield QC warned there was a real risk that people on the ""margins of society"" would be driven into the hands of extremists. ""What is going to happen to young Asian men when there has been a bomb gone off somewhere? They are going to be stopped. If they haven't [ID cards] they are going to be detained."" Tory ex-minister Douglas Hogg said he opposed the plans for ID cards branding them a ""regressive"" step which would intrude into the lives of ordinary citizens without any counterbalancing benefits. He predicted ultimately carrying the cards would become compulsory and that would lead to large numbers of Britain's ethnic minorities being stopped by police.
",politics
"Observers to monitor UK election
 
 Ministers will invite international observers to check the forthcoming UK general election is fairly run.
 
 The move comes amid claims the poll could be marred by electoral fraud. A report by two MPs committees called on Thursday for urgent changes to the electoral registration system to combat vote rigging and boost turnout. But in a written response to Labour MP Gordon Prentice, the government said it would normally invite observers to any UK election.
 
 Junior constitutional affairs minister Christopher Leslie said: ""I fully expect us to repeat our previous practice of doing so once the date for the next general election is announced."" The government has looked at ways of boosting voter turnout, which fell to 59% in the last general election in 2001.
 
 But trial all-postal ballots in four English regions last summer were hit by delays and some fraud allegations. Liberal Democrat peer Lord Greaves called last week for international observers at the general election - saying otherwise there could be months of court challenges ""on a scale not seen since the 19th Century"". Thursday's report was drawn up by two committees scrutinising the work of the Office of the Deputy Prime Minister (ODPM) and the Department for Constitutional Affairs (DCA). It said that, with the growth of postal voting, there was a strong case to tighten up fraud protection by requiring voters to register individually, rather than by household. It also said about three million people eligible to vote are not registered to do so.
 
 Figures for the 2001 general election suggest 29% of people aged between 18 and 24, and 19% of black voters were not on the electoral roll. Young people in shared accommodation are thought to miss out because no one acts as head of the household to fill in the form. ODPM committee chairman Andrew Bennett said individual voter registration, as opposed to registration by household, should be quickly introduced as it could ""dramatically reduce the chances of fraud"". But his counterpart on the DCA committee, Alan Beith, said it should be delayed ""until measures likely to increase registration have been put in place and proved effective."" Shadow Constitutional Affairs Secretary Oliver Heald accused the government of ""dragging its feet"" over ""this badly needed measure"". ""It is vital that we move ahead with the Northern Ireland system of individual electoral registration to safeguard the integrity of the Britain's electoral system,"" he said.
 
 The report said individual registration should be treated carefully as 12% of voters disappeared from the electoral roll in Northern Ireland when it was introduced in 2002. The report said the government should consider fines for unregistered voters, but accepted many experts said it would be an expensive system that would be hard to enforce. It said incentives to register, such as Â£20 council tax rebate, were likely to be seen as ""gimmicks"" and risked undermining the integrity of the system, MPs said. Instead they called for ""imaginative campaigns"" to boost interest.
",politics
"Kilroy names election seat target
 
 Ex-chat show host Robert Kilroy-Silk is to contest the Derbyshire seat of Erewash at the next general election.
 
 Labour's Elizabeth Blackman won the seat in 1997 and has a 6,932 majority. She says she will fight on her record ""as a hard-working constituency MP"". Mr Kilroy-Silk announced his plans a day after launching his new party, Veritas, the Latin for truth. The East Midlands MEP, who quit the UK Independence Party, wants his new group to ""change the face"" of UK politics. His choice of election constituency quashes speculation that he would stand against Defence Secretary Geoff Hoon in Ashfield, Nottinghamshire. UKIP won 31% of the vote in Erewash in last June's European elections - with Mr Kilroy-Silk among their candidates for the region. Until 1997, Erewash had been held by the Tories since 1970. Ms Blackman said she was proud of the government's achievements in the area. She declined to give her view of Mr Kilroy-Silk at this point.
 
 On Thursday, he told a London news conference that Veritas would avoid the old parties' ""lies and spin"". He said ""our country"" was being ""stolen from us"" by mass immigration and promised a ""firm but fair"" policy on immigration. Veritas says it hopes to contest most seats at the forthcoming general election but plans to announce detailed policies on crime, tax, pensions, health and defence over the next few weeks.
 
 UKIP leader Roger Knapman says he is glad to see the back of Mr Kilroy-Silk. Labour campaign spokesman Fraser Kemp said Veritas was joining ""an already crowded field on the right of British politics"". Mr Kilroy-Silk was joined in the new venture by one of UKIP's two London Assembly members, Damien Hockney, who is now Veritas' deputy leader.
 
 UKIP's chairman Petrina Holdsworth has said the group will just be a parody of the party the men have left. Mr Kilroy-Silk quit UKIP last week after months of tension as he vied unsuccessfully for the leadership of that party. He said he was ashamed to be a member of a UKIP whose leadership had ""gone AWOL"" after the great opportunity offered by its third place at last June's European elections. UKIP's leader, Roger Knapman, has said he is glad to see the back of Mr Kilroy-Silk. ""He has remarkable ability to influence people but, sadly, after the [European] election it became clear that he was more interested in the Robert Kilroy-Silk Party than the UK Independence Party so it was nice knowing him, now 'goodbye',"" he said. UKIP officials also argue Mr Kilroy-Silk has not been ""straightforward"" in attacking the party he once wanted to lead.
",politics
"Donor attacks Blair-Brown 'feud'
 
 The reported feud between Tony Blair and Gordon Brown has prompted a Labour donor to say he will almost certainly refuse to give more funds.
 
 Duncan Bannatyne also attacked the government over Iraq and its ""poor"" response to the Asian tsunami crisis. His broadside came as ex-Foreign Secretary Robin Cook said he hoped Mr Brown would be premier at some point. Mr Bannatyne has previously given Labour Â£50,000. He made his fortune from care homes and health clubs.
 
 The 52-year-old on Tuesday said was he was reviewing his donations because of Cabinet disunity and international issues. His spokesman said it was highly unlikely he would give Labour more money, although he would remain a supporter and not fund the Conservatives.
 
 Robert Peston's new book has prompted more speculation about the Blair-Brown rift with its claims that the prime minister broke a promise made in 2003 to stand down. Mr Bannatyne said: ""Disunity in the Cabinet has a corrosive effect on the country. ""Gordon Brown is a great chancellor who has delivered a stable economy, but business wants that to continue and not be blown off course by petty squabbles based on personal ambition."" The businessman, whose latest venture is a casino in Newcastle, also voiced concern about the ongoing violence in Iraq.
 
 And he branded the UK government's response to the tsunami as ""piecemeal and poor"". ""The people there need practical help not just pledges of money,"" he said. ""The US has forces helping on the ground - we can do more."" British Navy ships have helped the relief effort and the prime minister has said the government could ultimately give hundreds of millions of pounds in aid. Mr Bannatyne is due to host a new television programme and is also appearing on BBC2 business start-up programme Dragon's Den. But his spokesman insisted his attack on Labour was not a publicity stunt.
 
 In a separate development, Robin Cook gave his support to Mr Brown's prime ministerial ambitions but told a lunch for political journalists winning the election had to be Labour's election. But he insisted the recent squabbles between Mr Blair and Mr Brown were not ""perceived as a problem by the voters,"" adding there was no impression of governmental incompetence. Mr Cook argued that more prominence was given to these matters because there was ""not an alternative source of opposition to the government"". He warned the ""Abstentions Party"" was the real challenge to Labour - and they would not be motivated by Mr Blair's promise to produce an ""unremittingly New Labour"" election manifesto. His comments come after Dave Prentis, the leader of Britain's biggest union Unison, told the Daily Record newspaper he wants a date to be set for Mr Blair to be replaced as Labour leader.
",politics
"Research fears over Kelly's views
 
 Scientists have expressed concerns that new education secretary Ruth Kelly's religious views could hamper vital scientific research.
 
 Ms Kelly, who is Catholic, is reported to be ""pro-life"" and has opposed embryo research. Medical Research Council Professor Nancy Rothwell said Ms Kelly's views mattered as she was responsible for training future scientists. The Department for Education and Skills would not comment on the concerns.
 
 A spokeswoman said: ""It is not news that Ms Kelly is a Catholic but we are not going into any details on this."" But she added that claims Ms Kelly was in charge of a Â£1bn university research budget were not true. It was down to the Higher Education Funding Council and the research councils to decide on universities' research allocations. British law is open to the cloning of human embryos to create stem cells, master cells that can develop into all the body's tissue types. This cloning activity is not permitted for reproductive purposes - only for research into new disease treatments. However, it is controversial because it involves the destruction of embryos.
 
 Professor Rothwell, who is also vice-president of research at Manchester University, told the Times Higher Education Supplement it would worry her ""a great deal"" if ministers were anti-stem cell. She said: ""The views of ministers in the DfES do matter as they are responsible for training the next generation of scientists. ""You can't have a higher education policy that is at odds with the government's science policy."" Head of developmental genetics at the National Institute of Medical Research, Professor Robin Lovell-Badge, said he had witnessed the confused situation in the US where many religious groups opposed the practice. He said: ""If someone as senior as Ruth Kelly is not going to favour stem cell research we will end up with a similarly schizophrenic system in this country. It is very worrying."" But fertility expert Lord Winston said he thought it was ""rather good"" ministers held ethical views. Concerns have also been raised by ""pro-choice"" organisations that Ms Kelly's views might affect sex education policy in schools.
 
 Family Planning Association chief executive, Anne Weyman, said teaching pupils about contraception and abortion were key. ""Young people must be informed about all the issues within sexual health, which include contraception and abortion. ""I think it is very important that the government maintains its commitment to the teenage pregnancy strategy."" Currently, individual schools devise their own sex education policies based on a framework provided by the DfES. Ms Kelly has not set out her detailed views on either issue yet, but has said she intends to put parents first in education policy. This would include the quality of teaching, classroom discipline and academic standards in schools, she said.
",politics
"Chancellor rallies Labour voters
 
 Gordon Brown has issued a rallying cry, telling supporters the ""stakes are too high"" to stay at home or protest vote in the forthcoming general election.
 
 The chancellor said the vote - expected to fall on 5 May - will give a ""clear and fundamental"" choice between Labour investment and Conservative cuts. Speaking at Labour's spring conference in Gateshead, Mr Brown claimed the NHS was not safe in Conservative hands. He said Tory plans to cut Â£35bn tax would ""cut deep into public service"".
 
 To a packed audience at Gateshead's Sage Centre, the chancellor said the cuts proposed by shadow chancellor Oliver Letwin were the equivalent of sacking every teacher, GP and nurse in the country, he told activists. Laying into the Conservative's record in government he said: ""I give you this promise - with Labour, Britain will never return to the mistakes of ERM and 10% inflation, 15% interest rates, Â£3bn in lost reserves, 250,000 repossessed, one million in negative equity and three million unemployed. ""Never again Tory boom and bust.
 
 ""This will be the central dividing line at the election, between a Conservative Party taking Britain back and planning deep cuts of Â£35bn in our services, and a Labour government taking Britain forward, which on a platform of stability will reform and renew our hospitals, schools and public services and, I am proud to say, spend by 2008 Â£60bn more."" Turning to the economy, the chancellor pledged to continue economic stability and growth in a third term in power.
 
 He said after seven years Labour had transformed from a party not trusted with the economy to ""the only party trusted with the economy"". It was now a ""party not just of employees, but of employers and managers"", he said. In the speech - which prompted a standing ovation from an audience clearly ""warm"" to Mr Brown - he also promised to end teenage unemployment within the next five years. He also highlighted plans for 100% debt relief for the world's poorest countries, a national minimum wage for 16 and 17-year-olds and the creation of a network of children's centres and flexibility in maternity leave. The prime minister is to take part later on Saturday in an interactive question and answer session, fielding queries sent in by e-mail, text message and telephone as part of Labour's attempt to engage the public in their campaign.
",politics
"Fox attacks Blair's Tory 'lies'
 
 Tony Blair lied when he took the UK to war so has no qualms about lying in the election campaign, say the Tories.
 
 Tory co-chairman Liam Fox was speaking after Mr Blair told Labour members the Tories offered a ""hard right agenda"". Dr Fox told BBC Radio: ""If you are willing to lie about the reasons for going to war, I guess you are going to lie about anything at all."" He would not discuss reports the party repaid Â£500,000 to Lord Ashcroft after he predicted an election defeat.
 
 The prime minister ratcheted up Labour's pre-election campaigning at the weekend with a helicopter tour of the country and his speech at the party's spring conference. He insisted he did not know the poll date, but it is widely expected to be 5 May.
 
 In what was seen as a highly personal speech in Gateshead on Sunday, Mr Blair said: ""I have the same passion and hunger as when I first walked through the door of 10 Downing Street."" He described his relationship with the public as starting euphoric, then struggling to live up to the expectations, and reaching the point of raised voices and ""throwing crockery"". He warned his supporters against complacency, saying: ""It's a fight for the future of our country, it's a fight that for Britain and the people of Britain we have to win.""
 
 Mr Blair said that whether the public chose Michael Howard or Mr Kennedy, it would result in ""a Tory government not a Labour government and a country that goes back and does not move forward"". Dr Fox accused Mr Blair and other Cabinet ministers of telling lies about their opponents' policies and then attacking the lies. ""What we learned at the weekend is what Labour tactics are going to be and it's going to be fear and smear,"" he told BBC News. The Tory co-chairman attacked Labour's six new pledges as ""vacuous"" and said Mr Blair was very worried voters would take revenge for his failure to deliver. Dr Fox refused to discuss weekend newspaper reports that the party had repaid Â£500,000 to former Tory Treasurer Lord Ashcroft after he said the party could not win the election. ""We repay loans when they are due but do not comment to individual financial matters,"" he said, insisting he enjoyed a ""warm and constructive"" relationship to Lord Ashcroft.
 
 Meanwhile Lib Dem leader Charles Kennedy is expected to attack Mr Blair's words as he begins a nationwide tour on Monday. Mr Kennedy is accelerating Lib Dem election preparations this week as he visits Manchester, Liverpool, Leicester, Somerset, Basingstoke, Shrewsbury, Dorset and Torbay. He said: ""This is three-party politics. In the northern cities, the contest is between Labour and the Liberal Democrats. ""In southern and rural seats - especially in the South West - the principal contenders are the Liberal Democrats and the Conservatives, who are out of the running in Scotland and Wales."" The Lib Dems accuse Mr Blair of making a ""touchy-feely"" speech to Labour delegates which will not help him regain public trust.
",politics
"Tories unveil quango blitz plans
 
 Plans to abolish 162 quangos have been unveiled by the Conservatives as part of their effort to show how government red tape can be cut.
 
 Six government units would also be scrapped under proposals which the Tories say would save more than Â£4.3bn. Among the targets are strategic health authorities and the new fair access regulator for universities. Tory frontbencher John Redwood said Britain needed a slimmer government and lower taxes to be competitive.
 
 The plans would abolish regional assemblies and other regional bodies, such as boards tackling industrial development and housing. Their powers would be returned to elected local councils or national government. The Tories say the strategic health authorities are not needed as it is better that local people, rather than officials, run hospitals and surgeries.
 
 Announcing the plans, Mr Redwood said: ""Mr Blair has forgotten the interests of taxpayers, and has broken the pledges he made. ""Far from improving public services, spending taxpayers' money on quangos has led only to more bureaucrats, more regulation and higher taxes."" His party leader, Michael Howard, argued a change in direction was needed to get a grip on spending. ""Labour are creating Two Britains: the Britain of the forgotten majority and bureaucratic Britain,"" he said. ""In the real world, people are working harder just to stand still. They've seen their pensions knocked for six. ""They're being squeezed by extra taxes. The forgotten majority are paying the price of bureaucratic Britain.""
 
 The government has announced plans to cut 100,000 civil servants as part of its efficiency drive. But Chief Secretary to the Treasury Paul Boateng attacked the Tory plans. ""The Conservatives are committed to cutting Labour's public spending plans by a massive Â£35 billion,"" he said. ""Cuts on this scale cannot be found from cutting 'bureaucracy' but would require massive cuts to front-line public services such as schools, hospitals and the police."" The Liberal Democrats have said they would cut the number of Whitehall departments to make sure money reaches frontline services.
",politics
